applicant_id,credit_score,annual_income,debt_to_income,employment_length_years,age,num_open_accounts,delinquencies_2yr,loan_amount_requested,zip_tier,protected_group,gender,loan_approved
APP100000,667,69100.0,0.377,3.2,61,7,2,28600.0,2,Group B,Male,1
APP100001,693,49000.0,0.407,0.2,43,10,1,21100.0,2,Group A,Male,1
APP100002,633,93600.0,0.339,5.1,21,4,0,9700.0,5,Group B,Female,0
APP100003,706,47500.0,0.317,3.7,32,3,0,39600.0,3,Group B,Male,0
APP100004,720,25500.0,0.113,1.3,31,3,0,10500.0,1,Group A,Male,1
APP100005,715,41100.0,0.349,7.1,34,5,1,25600.0,5,Group B,Male,0
APP100006,670,102700.0,0.406,12.4,30,7,1,22500.0,5,Group B,Female,0
APP100007,751,98000.0,0.334,3.1,47,5,0,27600.0,3,Group B,Female,0
APP100008,663,19800.0,0.254,1.1,44,2,0,17200.0,3,Group A,Female,1
APP100009,657,87500.0,0.155,5.0,60,4,0,21000.0,2,Group A,Female,1
APP100010,774,20400.0,0.39,5.7,36,4,1,12400.0,5,Group A,Female,1
APP100011,608,67300.0,0.344,2.0,43,11,0,23200.0,5,Group B,Female,0
APP100012,569,39000.0,0.493,2.3,50,4,1,6400.0,4,Group A,Male,0
APP100013,624,89400.0,0.181,10.4,53,3,0,29400.0,1,Group B,Female,0
APP100014,705,81300.0,0.288,8.6,26,8,1,39200.0,2,Group A,Male,0
APP100015,763,91500.0,0.195,4.3,46,9,2,27900.0,1,Group A,Male,1
APP100016,637,60900.0,0.453,2.8,43,5,0,1000.0,5,Group A,Male,0
APP100017,798,63400.0,0.476,5.1,45,5,0,13200.0,5,Group A,Female,1
APP100018,682,32000.0,0.551,1.8,42,5,0,26800.0,4,Group B,Female,0
APP100019,672,43300.0,0.397,11.1,62,10,0,7900.0,1,Group A,Female,1
APP100020,625,90800.0,0.427,2.7,30,6,0,5900.0,5,Group B,Female,0
APP100021,807,76800.0,0.388,2.3,30,4,0,19200.0,2,Group A,Female,1
APP100022,670,70500.0,0.403,7.8,31,2,1,13700.0,2,Group B,Male,1
APP100023,593,98300.0,0.345,1.2,38,5,0,13200.0,4,Group B,Female,0
APP100024,840,36800.0,0.408,1.8,45,7,0,5400.0,5,Group B,Female,0
APP100025,706,85300.0,0.575,0.4,36,5,0,33300.0,3,Group A,Female,1
APP100026,732,39700.0,0.364,1.9,53,5,0,9200.0,4,Group A,Male,1
APP100027,789,103500.0,0.343,1.1,41,6,0,14100.0,2,Group A,Male,1
APP100028,720,81100.0,0.362,0.4,40,7,1,21800.0,2,Group A,Female,0
APP100029,743,91100.0,0.324,1.1,25,4,1,15900.0,4,Group B,Male,0
APP100030,684,51200.0,0.367,1.4,63,5,2,13700.0,3,Group B,Male,1
APP100031,728,120400.0,0.32,0.6,40,5,2,26400.0,5,Group B,Male,1
APP100032,678,116000.0,0.466,0.1,61,9,0,21300.0,4,Group A,Male,0
APP100033,679,78300.0,0.455,2.1,34,6,0,20900.0,1,Group A,Male,1
APP100034,688,96200.0,0.578,15.2,51,1,0,14200.0,2,Group A,Female,1
APP100035,654,60800.0,0.337,1.8,34,10,1,6200.0,4,Group A,Female,1
APP100036,713,37600.0,0.372,4.5,63,5,0,28300.0,2,Group A,Female,1
APP100037,713,87100.0,0.367,0.1,54,4,1,11500.0,2,Group A,Male,0
APP100038,733,45900.0,0.362,0.2,51,10,1,5700.0,3,Group A,Male,0
APP100039,722,99400.0,0.464,1.8,32,8,0,14700.0,3,Group A,Male,1
APP100040,810,93100.0,0.161,8.2,64,4,0,17300.0,1,Group A,Male,1
APP100041,748,73600.0,0.391,1.8,65,4,0,5300.0,5,Group B,Male,1
APP100042,667,72300.0,0.56,2.2,36,5,0,13900.0,4,Group B,Female,0
APP100043,709,91700.0,0.49,18.4,43,6,0,17800.0,1,Group A,Female,1
APP100044,772,74600.0,0.477,3.2,52,8,1,6300.0,5,Group B,Female,1
APP100045,618,58300.0,0.433,14.7,21,3,0,28000.0,2,Group B,Male,0
APP100046,811,31700.0,0.274,2.8,55,3,0,6300.0,3,Group A,Male,1
APP100047,630,91000.0,0.258,12.0,53,4,0,23800.0,2,Group A,Male,0
APP100048,739,76800.0,0.258,2.6,34,7,0,19300.0,4,Group B,Male,1
APP100049,680,134100.0,0.215,1.0,21,6,1,40800.0,3,Group A,Male,0
APP100050,677,65700.0,0.444,4.4,45,6,1,18500.0,2,Group A,Male,0
APP100051,595,75200.0,0.502,13.8,27,6,0,5400.0,1,Group A,Female,1
APP100052,739,75800.0,0.388,6.5,22,7,0,6600.0,5,Group B,Female,0
APP100053,596,83600.0,0.429,4.2,45,2,1,15100.0,2,Group A,Male,0
APP100054,586,44800.0,0.372,2.2,57,9,1,1000.0,2,Group B,Male,0
APP100055,755,66100.0,0.403,1.0,38,4,0,5800.0,2,Group B,Male,0
APP100056,796,87900.0,0.107,13.7,55,5,0,23600.0,2,Group A,Male,1
APP100057,637,60000.0,0.375,12.2,49,3,0,37500.0,4,Group A,Female,1
APP100058,745,87000.0,0.293,4.7,25,7,0,17100.0,2,Group A,Female,1
APP100059,732,70300.0,0.336,4.1,34,7,0,8500.0,2,Group A,Female,1
APP100060,674,77600.0,0.365,3.4,54,4,0,27300.0,1,Group A,Female,1
APP100061,767,95600.0,0.261,18.7,34,4,0,29700.0,3,Group A,Male,1
APP100062,669,62500.0,0.222,7.6,51,9,0,13900.0,3,Group A,Male,1
APP100063,714,33200.0,0.258,9.2,36,2,0,23600.0,3,Group B,Male,1
APP100064,599,61600.0,0.181,18.7,50,7,0,29800.0,2,Group A,Male,0
APP100065,601,48200.0,0.213,0.2,46,1,0,21000.0,2,Group A,Female,0
APP100066,756,18000.0,0.228,14.1,38,6,1,11800.0,1,Group A,Male,0
APP100067,716,65400.0,0.182,10.7,49,6,2,13300.0,5,Group A,Male,1
APP100068,671,72800.0,0.398,1.8,21,6,0,6900.0,1,Group A,Male,0
APP100069,804,92500.0,0.241,0.4,28,5,0,10900.0,3,Group A,Male,1
APP100070,803,40700.0,0.135,15.2,35,3,0,23600.0,3,Group A,Female,1
APP100071,709,70100.0,0.296,3.1,55,7,2,16000.0,1,Group A,Male,0
APP100072,585,95100.0,0.218,0.8,24,8,0,4300.0,3,Group B,Male,0
APP100073,673,54200.0,0.5,0.8,41,3,1,21100.0,1,Group A,Male,0
APP100074,626,80900.0,0.355,2.3,45,5,0,27900.0,3,Group A,Female,0
APP100075,686,106300.0,0.178,12.1,44,2,0,16400.0,5,Group A,Female,1
APP100076,619,23300.0,0.403,0.1,40,8,0,17300.0,2,Group A,Female,0
APP100077,602,74500.0,0.349,15.0,34,6,0,31200.0,5,Group A,Male,0
APP100078,533,95900.0,0.314,1.7,38,8,0,28600.0,1,Group A,Male,0
APP100079,691,59600.0,0.513,5.5,53,3,0,22900.0,5,Group B,Female,0
APP100080,531,101300.0,0.233,2.8,33,2,0,30800.0,4,Group A,Male,1
APP100081,659,83200.0,0.454,3.4,21,5,0,28600.0,4,Group A,Male,0
